strana;slogan;name;data;genre;dlina;name_ang
США;;To Race the Wind;Драма; 97 мин.;
США;;Крампус;Ужасы; 98 мин.;Krampus
США;;Виктор Франкенштейн;Ужасы; 109 мин.;Victor Frankenstein
Россия;;30 свиданий;Комедия; 89 мин.;
Германия;;Зачётный препод 2;Комедия; 115 мин.;Fack ju Gohte 2
США;;Красные xвосты;Боевик; 120 мин.;Red Tails
США;;Дэдпул;Фантастика; 104 мин.;Deadpool
США;;Джон Картер;Фантастика; 132 мин.;John Carter
Австралия;;Портниха;Драма; 118 мин.;The Dressmaker
Южная Корея;;Великий тигр;Боевик; 139 мин.;Daeho
Австралия;;Острие стрелы;Фантастика; 95 мин.;Arrowhead
США;;В сердце моря;Боевик; 121 мин.;Heart of the Sea
США;;Рок на века;Мюзикл; 123 мин.;Rock of Ages
США;;Вспомнить всё;Фантастика; 130 мин.;Total Recall
США;;Операция «Арго»;Триллер; 120 мин.;Argo
США;;Мадагаскар 3;Мультфильм; 93 мин.;Madagascar 3: Europe's Most Wanted
США;;Взгляд зимы;Триллер; 90 мин.;Cold Comes the Night
США;;Годзилла;Фантастика; 119 мин.;Godzilla
США;;Трамбо;Драма; 124 мин.;Trumbo
Китай;;Кунг-фу Панда 3;Мультфильм; 95 мин.;Kung Fu Panda 3
США;;Горе-творец;Драма;;The Disaster Artist
